lookback,top_n,buffer,timing,timing_lookback,timing_band,total_return,annual_return,sharpe,max_drawdown,calmar,annual_turnover,worst_year_return,positive_year_ratio,excess_return,information_ratio
120,15,0,off,0,0.0,0.4042372510958385,0.07511762273975076,0.42155252630357964,-0.41315020208888564,0.18181673967471484,5.654130052724077,-0.10138734154906537,0.2,0.6487817805556075,0.5030180218499372
120,15,0,ma,40,0.0,0.7755336149350924,0.13029957232311684,0.7570477734319044,-0.24686658733009648,0.5278137221092921,6.495606326889279,-0.027794423328177387,0.8,1.0847385103795526,0.6989111044996763
120,15,0,ma,40,0.02,0.9339944717049435,0.15110344293444422,0.9168639559957155,-0.2165537683789447,0.6977640891015585,5.344112478031634,-0.0010089707634651779,0.8,1.2707949430582004,0.7628732907347547
120,15,0,ma,60,0.0,0.6323099576928104,0.11019890525078191,0.646722295670146,-0.29257720508164897,0.3766489778997954,5.875571177504393,-0.10799793265580993,0.8,0.9165727987654124,0.6308018043947239
120,15,0,ma,60,0.02,0.6185195784521567,0.10819115876300667,0.6571182937667993,-0.3214798153428061,0.3365410629206637,5.373637961335677,-0.10799793265581081,0.6,0.9003808582502335,0.6210255983328165
120,15,0,ma,90,0.0,0.36963956808050713,0.06941073147143717,0.44328454536291695,-0.35379985023217897,0.19618643542637682,5.639367311072056,-0.14946562366721816,0.6,0.6081589945124368,0.4980459972362621
120,15,0,ma,90,0.02,0.5356969122588127,0.09584142826306885,0.6165712582457717,-0.35015204632278185,0.2737137459842774,4.487873462214411,-0.14946562366721838,0.4,0.803134824554675,0.5882306560031546
120,15,0,ma,120,0.0,0.31425048326908067,0.0600335767757445,0.4043776855762862,-0.36241156398134666,0.16565027924670314,5.01933216168717,-0.14946562366721794,0.4,0.5431240342110621,0.4701321122344488
120,15,0,ma,120,0.02,0.32779471330084275,0.062354864880350025,0.42509443273503966,-0.31940551377396664,0.19522162953165745,4.901230228471002,-0.1494656236672186,0.2,0.5590269592264727,0.48064162508366365
120,15,0,ma,200,0.0,0.26910601133224676,0.052158002920142055,0.359990075244902,-0.3716327485894755,0.1403482419622778,4.428822495606327,-0.1619644580906523,0.2,0.49011776140055985,0.44372841202735847
